Elevation,Aspect,Slope,Horiz_dist_hydro,Vertical_dist_hydro,Horiz_dist_roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horiz_dist_firepoints,Cover_Type,Wilderness_Area,Soil_Type
3202,34,10,0,0,2760,219,218,134,1734,1,3,38
3113,251,13,192,40,5600,191,249,195,2555,2,1,22
2801,77,9,510,17,1728,232,223,122,1087,2,1,12
3165,82,9,319,56,4890,233,225,124,1452,1,1,29
3048,333,11,124,31,2823,196,226,170,666,1,1,23
2347,31,16,242,140,216,214,203,120,1425,3,4,2
3381,56,22,376,147,1919,228,187,81,2059,1,1,40
2290,86,24,30,0,1325,246,192,61,830,4,4,17
3051,75,21,150,0,1003,240,194,74,1733,1,3,22
2978,294,18,228,29,5730,167,233,205,1920,1,1,29
3028,337,14,60,12,2269,189,221,170,1130,1,3,23
2468,155,24,390,60,361,239,234,111,1134,3,3,2
3071,62,15,153,28,4894,231,209,106,560,1,1,29
3004,108,7,30,6,1998,232,232,133,2987,1,3,23
3469,280,33,180,55,3081,114,223,238,1921,1,1,40
2600,5,28,67,34,1261,171,173,128,6582,2,1,29
2644,154,12,175,14,2135,235,241,135,2551,3,3,4
2792,191,11,240,39,1714,220,249,162,2658,2,1,29
3152,246,11,603,3,6215,197,249,190,1600,2,1,29
3290,153,15,437,102,1136,237,240,130,2542,2,1,29
2182,347,23,42,17,212,169,195,160,569,2,4,10
2897,150,8,175,14,2409,231,240,141,2497,2,3,26
2999,210,29,216,97,1989,184,252,187,2059,2,3,33
2692,351,8,350,61,1387,206,227,159,1500,2,1,12
3034,303,11,485,-86,1919,189,235,186,2268,2,3,31
3181,239,11,330,71,1422,200,249,187,2462,1,3,33
3271,82,19,180,38,2026,243,202,81,1358,7,1,39
3126,317,8,242,19,5495,199,233,174,693,1,1,23
3133,80,13,255,-51,1939,237,217,109,1570,1,1,29
3107,17,13,134,0,1770,209,213,139,1739,2,3,23
3057,265,11,658,368,2301,191,245,193,1419,2,3,32
3285,151,18,685,169,2646,240,237,119,2584,1,3,33
2745,71,10,0,0,1862,231,221,121,907,2,1,12
3293,56,21,306,11,1839,228,191,87,2594,1,1,39
2663,7,6,134,44,1777,213,228,153,4939,2,1,12
2861,104,17,127,1,960,246,217,94,2160,2,3,33
3374,41,9,300,25,1772,221,221,134,5033,1,2,39
3103,16,8,60,3,6795,213,223,146,2630,2,1,20
3073,351,16,446,9,3430,190,212,158,2954,2,1,29
3359,130,15,469,68,1986,243,231,113,2916,2,2,23
2808,283,17,30,11,2445,171,239,207,808,2,3,13
2888,35,4,382,41,2761,219,231,148,2359,2,1,23
3032,98,7,127,14,1826,231,231,132,1660,1,1,23
3440,247,8,849,199,3530,203,246,181,484,1,3,38
2534,31,13,60,7,2439,216,212,129,735,6,3,10
2857,90,6,0,0,3065,229,231,136,4106,2,1,23
2998,175,15,240,51,2375,227,247,148,2888,2,3,33
3260,76,22,30,-7,1538,241,194,73,1784,1,1,38
2963,109,9,228,27,5287,236,230,124,1981,1,1,29
2902,202,15,330,56,1698,211,252,172,888,2,3,13
3092,145,26,295,102,395,245,226,93,1756,2,3,22
2707,195,20,218,116,2810,212,252,166,1296,3,3,4
2128,57,35,277,101,631,220,146,31,685,3,4,6
2850,8,19,60,6,1233,194,198,138,2240,2,3,31
3070,43,11,42,-2,3844,222,216,127,3905,1,1,29
3157,318,6,201,29,2743,204,235,169,671,1,3,24
3323,228,20,531,176,1421,187,254,199,4175,1,2,33
3225,24,8,30,3,3086,216,224,144,1939,1,1,22
3022,238,18,108,2,1611,183,252,203,451,2,3,31
2775,162,3,242,22,830,222,240,153,1940,2,3,11
2865,13,17,124,28,3846,202,203,135,2828,2,1,29
3229,357,20,540,90,2174,185,200,149,212,1,3,33
3181,10,15,90,13,805,202,208,141,2454,1,1,23
3109,146,15,60,-6,6294,240,237,122,2275,1,1,29
3234,282,15,402,76,2875,176,240,202,837,2,3,32
3031,21,4,404,123,2837,217,231,151,1744,1,3,23
3006,79,1,309,48,3971,220,236,152,1337,2,1,29
3173,315,12,218,35,3540,187,230,183,1773,1,3,31
2785,39,13,90,34,1398,220,210,122,1136,5,3,33
2988,309,9,192,1,3903,195,234,179,726,1,1,29
2650,332,8,451,122,752,201,230,168,1026,3,3,2
3032,98,11,268,34,1140,238,224,115,2814,2,1,29
3123,62,6,0,0,1943,225,228,138,459,1,1,23
3018,0,4,644,174,5589,214,232,156,5181,1,1,12
3075,317,21,600,278,2584,161,217,194,1503,1,3,33
2973,155,4,30,0,1784,224,240,150,3713,1,1,23
2936,103,13,180,39,3886,241,224,110,5170,2,1,30
3029,58,21,255,18,4620,230,191,85,2676,1,1,29
2795,353,6,30,0,3300,210,230,158,5967,2,1,20
